排名,代號,名稱,級別,分數,時鐘,角度,周期,距轉勢點日,自谷底回升%,連升根數,谷底值,谷底深度%,現值Hist,已走日,預期日,A相位,B確認,C底質,D價格,收盤,1日%,21日%,距高%,RS21,量比,VCP_R17,確定性_R17,AI流,來源榜單
1,CORT,Corcept Therapeutics I,A,83.5,7:05,212.6,跌,5,36.0,3,-1.9139,100.0,-1.2208,11,12.3,45.0,14.5,9.0,15,114.92,-0.67,2.7,-7.0,3.6,0.73,A,27.2,,CW
2,TALO,,C,81.5,7:24,222.1,跌,2,47.0,2,-0.0442,15.0,-0.0235,4,11.6,44.1,18.0,4.4,15,17.54,0.17,12.7,-1.2,13.5,0.91,,,,10MA
3,ITGR,,A,81.3,6:32,196.4,跌,5,18.0,5,-1.1148,36.0,-0.9112,16,8.1,45.0,18.0,3.3,15,126.05,0.15,0.8,-0.4,1.7,0.77,,,,10MA
4,NHC,National HealthCare Co,D,80.1,8:25,252.8,跌,5,81.0,5,-1.7891,73.0,-0.3411,12,7.4,30.6,25.0,9.5,15,224.92,-1.02,3.8,-5.0,4.7,0.92,A,46.6,,CW
5,PLSE,,A,79.6,7:00,210.4,跌,2,34.0,2,-0.3034,34.0,-0.2009,3,8.1,45.0,18.0,4.6,12,54.43,2.76,22.6,-0.5,23.5,1.68,,,,10MA
6,DLB,,A,78.9,6:42,201.3,跌,5,24.0,5,-0.6393,44.0,-0.4881,10,9.9,45.0,18.0,3.9,12,62.62,1.26,2.1,-13.8,2.9,1.07,,,,10MA
7,MSGS,Madison Square Garden,D,78.6,8:20,250.1,跌,6,78.0,6,-2.9523,86.0,-0.6512,15,10.6,31.9,25.0,13.7,8,392.11,-0.82,-0.3,-5.3,0.5,1.19,C,20.7,,CW
8,SMTI,,A,78.2,6:35,198.0,跌,8,20.0,4,-0.3321,35.0,-0.2657,18,8.2,45.0,18.0,3.2,12,35.03,0.0,1.9,-0.7,2.8,1.06,,,,10MA
9,EOG,EOG Resources Inc. Com,C,78.1,7:22,221.4,跌,7,46.0,2,-0.5399,25.0,-0.2913,10,14.7,44.4,18.0,3.7,12,147.46,0.31,2.8,-3.7,3.7,1.06,A,34.9,,CW
10,MET,MetLife,A,77.4,6:42,201.0,跌,1,23.0,1,-0.1517,16.0,-0.1163,3,8.8,45.0,14.5,2.9,15,96.78,1.14,-0.0,-3.2,0.9,0.82,A,33.6,,CW
