ticker,lists,close_16,score,c1_16,c2,c3,c4_16,c5_16,c6_16,volidx,clock_16,bars,close_17,c1_17,c4_17,c5_17,c6_17,c5_days,clock_17,dist_grav_pct,bar_src,chg1d_pct,four_17,hist_ok
AWR,SubSector_R12+Combined_R22,87.17,6,True,True,True,True,True,True,93.0,8:49,262,86.76,True,True,True,True,1.0,8:49,-1.69,收盤快照,-0.47,True,True
THC,SubSector_R12,265.78,6,True,True,True,True,True,True,76.8,8:49,262,261.9,True,True,True,True,1.0,8:49,-1.7,收盤快照,-1.46,True,True
DIS,SubSector_R12,106.99,6,True,True,True,True,True,True,89.5,7:55,262,105.35,True,True,False,True,1.0,8:22,-0.95,收盤快照,-1.53,False,True
MRK,SubSector_R12+Combined_R22,144.91,6,True,True,True,True,True,True,85.7,7:34,262,147.15,True,True,True,True,1.0,8:09,1.21,收盤快照,1.55,True,True
HTO,SubSector_R12+Combined_R22,63.14,6,True,True,True,True,True,True,91.9,7:27,262,63.08,True,True,True,True,1.0,8:20,-0.24,收盤快照,-0.1,True,True
WELL,SubSector_R12,234.5,6,True,True,True,True,True,True,91.1,6:53,262,232.26,False,True,False,True,1.0,7:22,-1.69,收盤快照,-0.96,False,True
SENEA,Combined_R22,186.31,6,True,True,True,True,True,True,77.3,6:42,262,183.87,True,True,True,True,1.0,7:14,-3.27,收盤快照,-1.31,True,True
GBTG,10MA_R20_跌出,9.47,6,True,True,True,True,True,True,99.8,8:49,262,9.46,True,True,False,True,2.0,8:49,-0.06,收盤快照,-0.11,False,True
LYB,SubSector_R12,64.9,6,True,True,True,True,True,True,80.7,8:49,262,64.25,True,True,False,True,2.0,8:49,0.25,收盤快照,-1.0,False,True
NDSN,SubSector_R12,309.02,6,True,True,True,True,True,True,89.9,8:41,262,311.74,True,True,True,True,2.0,8:49,-1.93,收盤快照,0.88,True,True
JNJ,SubSector_R12+Combined_R22,267.28,6,True,True,True,True,True,True,90.8,6:28,262,270.22,True,True,True,True,2.0,6:58,1.05,收盤快照,1.1,True,True
CAG,SubSector_R12,15.18,6,True,True,True,True,True,True,83.8,8:49,262,15.18,True,True,False,True,3.0,8:49,-2.23,收盤快照,0.0,False,True
DHR,SubSector_R12+RateHike_R2_受惠,208.36,6,True,True,True,True,True,True,82.5,8:49,262,212.5,True,True,False,True,3.0,8:49,1.88,收盤快照,1.99,False,True
LH,Combined_R22,324.51,6,True,True,True,True,True,True,88.0,8:49,262,322.73,True,True,False,True,3.0,8:49,-0.74,收盤快照,-0.55,False,True
NWSA,SubSector_R12+10MA_R20,30.19,6,True,True,True,True,True,True,88.7,8:49,262,30.18,True,True,False,True,3.0,8:49,0.76,收盤快照,-0.03,False,True
WBD,SubSector_R12,28.07,6,True,True,True,True,True,True,95.3,7:24,262,28.24,True,True,False,True,3.0,7:51,0.56,收盤快照,0.61,False,True
RNR,SubSector_R12+RateHike_R2_受惠,328.43,6,True,True,True,True,True,True,91.0,6:30,75,328.78,True,True,False,True,3.0,7:00,0.9,收盤快照,0.11,False,False
BFH,Combined_R22,107.85,5,False,True,True,True,True,True,80.9,8:49,262,108.21,False,True,False,True,1.0,9:37,0.38,收盤快照,0.33,False,True
CHEF,SubSector_R12,109.68,5,False,True,True,True,True,True,77.1,8:49,262,110.16,True,True,True,True,1.0,8:49,-1.06,收盤快照,0.44,True,True
CORT,Combined_R22,111.81,5,True,True,False,True,True,True,67.8,8:49,262,114.86,True,True,True,True,1.0,8:49,0.03,收盤快照,2.73,True,True
CTAS,SubSector_R12,199.46,5,False,True,True,True,True,True,90.6,8:49,262,197.96,False,True,False,True,1.0,8:49,-1.84,收盤快照,-0.75,False,True
JAZZ,Combined_R22,243.59,5,False,True,True,True,True,True,86.3,8:49,262,243.84,False,True,True,True,1.0,8:49,-2.38,收盤快照,0.1,False,True
KNSA,Combined_R22,77.62,5,True,True,False,True,True,True,72.5,8:49,262,79.33,True,True,True,True,1.0,8:49,1.34,收盤快照,2.2,True,True
SNOW,AI_R13+SubSector_R12+Combined_R22,331.02,5,True,True,False,True,True,True,67.5,8:49,262,338.39,True,True,True,True,1.0,8:49,1.65,收盤快照,2.23,True,True
VRTX,SubSector_R12+Combined_R22,513.26,5,True,True,True,True,True,False,87.7,8:16,262,516.34,True,True,True,True,1.0,8:49,-2.71,收盤快照,0.6,True,True
URBN,Combined_R22,77.08,5,False,True,True,True,True,True,76.4,7:07,262,75.84,False,True,False,True,1.0,7:48,-2.86,收盤快照,-1.61,False,True
