ticker,date,close,atr,c1,grav,grav_slope,grav_shift5atr,c2,volidx,volidx_slope,volidx_prev,c3,atr_pct,sd60_pct,vcp,vcp_slope,vcp_grade,c4,clock,theta,cycle,cyc_prog,cyc_days,c5,c5_days,hist,hist_prev,hist_trough,still_light,c6,dist_grav_pct,dist_grav_atr,lr_line,dist_lr_pct,dist_lr_atr,turnover20_m,bar_src,lr_dir,struct,mk,inBox,bars,score,symbol_used,lists
HTO,2026-09-21,62.61,1.27,True,63.17,0.01,0.08,True,92.5,0.24,92.2,True,2.03,1.14,54.9,-1.3,C 基底修復,True,8:49,264.6,跌,119.0,8,True,0.0,-0.1763,-0.1795,-0.4954,True,True,-0.9,-0.44,63.1,-0.78,-0.39,27.5,OHLC,—,HH/HL,DT,False,265,6,HTO,SubSector_R12+Combined_R22
MCK,2026-09-21,886.47,21.93,True,884.18,0.546,0.27,True,86.5,0.14,86.4,True,2.47,1.99,45.6,-2.3,C 基底修復,True,8:49,264.6,跌,114.0,9,True,0.0,-4.1283,-4.5276,-5.4753,True,True,0.26,0.1,910.95,-2.76,-1.12,857.1,OHLC,—,LH/LL,自然回檔,True,265,6,MCK,SubSector_R12
ROKU,2026-09-21,154.33,2.08,True,155.71,0.096,0.84,True,95.8,0.16,95.7,True,1.35,0.93,76.7,0.4,A 待突破,True,8:49,264.6,跌,145.0,17,True,0.0,-0.6982,-0.7393,-1.0296,True,True,-0.89,-0.66,157.45,-2.02,-1.5,357.1,OHLC,—,LH/LL,次級回檔,False,265,6,ROKU,SubSector_R12
V,2026-09-21,369.95,5.66,True,370.51,0.094,0.07,True,94.0,0.11,93.9,True,1.53,1.25,62.1,-9.9,C 基底修復,True,8:49,264.6,跌,182.0,13,True,0.0,-1.2113,-1.2919,-1.8904,True,True,-0.15,-0.1,377.17,-1.95,-1.27,2327.9,OHLC,—,LH/LL,UT,True,265,6,V,SubSector_R12+Combined_R22
EL,2026-09-21,96.34,3.14,True,97.17,0.145,0.25,True,78.8,0.5,78.3,True,3.25,2.71,56.5,16.9,C 基底修復,True,8:47,263.5,跌,96.0,10,True,0.0,-1.2516,-1.46,-1.46,True,True,-0.86,-0.26,103.86,-7.81,-2.4,308.4,OHLC,↓,LH/LL,自然反彈,False,265,6,EL,SubSector_R12
NE,2026-09-21,44.2,1.6,True,45.34,0.091,0.43,True,77.0,0.27,76.7,True,3.62,2.69,57.6,-2.4,B 上升結構,True,7:58,239.0,跌,83.0,11,True,0.0,-0.3546,-0.3606,-0.3606,True,True,-2.57,-0.71,47.2,-6.79,-1.88,52.9,OHLC,—,LH/LL,次級回檔,True,265,6,NE,SubSector_R12
DFIN,2026-09-21,48.41,1.6,True,48.37,0.02,-0.1,True,79.8,0.83,79.0,True,3.31,2.47,42.9,2.8,C 基底修復,True,6:04,181.9,跌,51.0,7,True,0.0,-0.1203,-0.1472,-0.5101,True,True,0.09,0.03,49.26,-1.77,-0.53,12.0,OHLC,—,LH/LL,自然回檔,True,265,6,DFIN,10MA_R20
CLDT,2026-09-21,13.14,0.33,True,13.04,0.01,-0.23,True,88.1,0.52,87.6,True,2.54,1.61,68.7,5.7,C 基底修復,True,8:49,264.6,跌,127.0,14,True,1.0,-0.007,-0.0268,-0.1676,True,True,0.76,0.3,12.64,3.84,1.51,3.5,OHLC,—,HH/HL,自然反彈,True,265,6,CLDT,Combined_R22
CME,2026-09-21,275.53,5.59,True,275.2,0.261,0.28,True,90.8,0.44,90.4,True,2.03,1.53,39.5,1.6,C 基底修復,True,8:49,264.6,跌,98.0,11,True,1.0,-1.3748,-1.5558,-1.8126,True,True,0.12,0.06,280.46,-1.79,-0.88,530.4,OHLC,—,LH/LL,DT,True,265,6,CME,SubSector_R12+Combined_R22
ICE,2026-09-21,155.37,3.34,True,157.56,0.147,0.34,True,90.5,0.61,89.9,True,2.15,1.48,51.2,-1.0,C 基底修復,True,8:49,264.6,跌,133.0,14,True,1.0,-1.0209,-1.139,-1.2654,True,True,-1.41,-0.66,160.53,-3.32,-1.55,497.6,OHLC,↓,LH/LL,DT,False,265,6,ICE,SubSector_R12+Combined_R22
