ticker,lists,score,c2,c3,volidx,close_16,close_17,chg1d_pct,c1_17,c4_17,c5_17,c6_17,clock_17,dist_grav_pct,four_17,c5_days_17,still_light_17
HTO,SubSector_R12+Combined_R22,6,True,True,92.5,62.61,62.92,0.5,True,True,True,True,8:49,-0.48,True,1.0,True
MCK,SubSector_R12,6,True,True,86.5,886.47,891.23,0.54,True,True,True,True,8:49,0.76,True,1.0,True
ROKU,SubSector_R12,6,True,True,95.8,154.33,154.25,-0.05,True,True,True,True,8:49,-1.03,True,1.0,True
V,SubSector_R12+Combined_R22,6,True,True,94.0,369.95,362.04,-2.14,False,True,False,True,8:49,-2.33,False,1.0,False
EL,SubSector_R12,6,True,True,78.8,96.34,100.29,4.1,True,True,True,True,8:49,2.83,True,1.0,True
NE,SubSector_R12,6,True,True,77.0,44.2,45.04,1.9,True,True,True,True,8:25,-0.93,True,1.0,True
DFIN,10MA_R20,6,True,True,79.8,48.41,48.49,0.17,True,True,True,True,6:30,0.2,True,1.0,True
CLDT,Combined_R22,6,True,True,88.1,13.14,13.24,0.76,True,True,False,True,9:35,1.24,False,2.0,False
CME,SubSector_R12+Combined_R22,6,True,True,90.8,275.53,267.21,-3.02,True,True,False,False,8:49,-3.0,False,2.0,False
ICE,SubSector_R12+Combined_R22,6,True,True,90.5,155.37,152.93,-1.57,True,True,False,False,8:49,-3.06,False,2.0,False
TRGP,Combined_R22,6,True,True,86.1,289.36,282.15,-2.49,True,True,False,True,8:22,-2.91,False,2.0,False
IBKR,Combined_R22,6,True,True,79.0,93.21,91.88,-1.43,True,True,False,True,9:33,-0.08,False,3.0,False
NEM,SubSector_R12+Combined_R22,6,True,True,78.0,123.05,127.26,3.42,True,True,False,True,8:49,1.45,False,3.0,True
PK,Combined_R22,6,True,True,87.5,15.15,15.19,0.26,True,True,False,True,8:49,-0.93,False,3.0,True
REGN,SubSector_R12+Combined_R22,6,True,True,87.3,798.17,803.9,0.72,True,True,False,True,8:49,-0.42,False,3.0,True
RGLD,SubSector_R12,6,True,True,82.3,250.11,258.29,3.27,True,True,False,True,8:49,2.64,False,3.0,True
RPRX,Combined_R22,6,True,True,88.4,58.44,58.52,0.14,True,True,False,True,8:49,-2.73,False,3.0,True
TECK,SubSector_R12,6,True,True,77.3,66.76,68.88,3.18,True,True,False,True,8:49,1.76,False,3.0,True
TGT,Combined_R22,6,True,True,86.3,157.71,159.02,0.83,True,True,False,True,8:49,-0.11,False,3.0,True
PFE,SubSector_R12,6,True,True,92.8,27.74,27.93,0.68,True,True,False,True,8:22,0.54,False,3.0,True
BIIB,SubSector_R12,5,False,True,83.4,219.07,225.36,2.87,True,True,False,False,9:45,3.99,False,1.0,False
CCBG,Combined_R22,5,True,True,92.0,50.19,49.73,-0.92,False,True,False,True,8:49,-2.44,False,1.0,False
COR,SubSector_R12,5,True,True,88.3,316.49,314.43,-0.65,False,True,True,True,8:49,-1.95,False,1.0,True
DUOL,AI_R13+Combined_R22,5,True,False,62.7,149.42,147.71,-1.14,True,True,True,True,8:49,1.12,True,1.0,True
GBTG,10MA_R20_跌出,5,False,True,99.8,9.46,9.46,0.0,False,True,True,True,8:49,-0.08,False,1.0,True
GPN,SubSector_R12,5,True,True,81.0,85.29,84.78,-0.6,False,True,True,False,8:49,-6.36,False,1.0,True
JAZZ,Combined_R22,5,True,True,86.9,241.46,240.57,-0.37,False,True,True,False,8:49,-3.07,False,1.0,True
KHC,SubSector_R12,5,True,True,85.2,24.37,24.0,-1.52,False,True,False,False,8:49,-3.74,False,1.0,False
LILA,10MA_R20_跌出,5,False,True,82.0,8.77,8.79,0.23,True,True,True,True,8:49,2.7,True,1.0,True
NMAX,10MA_R20_跌出,5,True,False,58.3,10.88,11.21,3.03,True,True,True,True,8:49,4.55,True,1.0,True
STT,Combined_R22,5,True,True,90.2,184.4,180.25,-2.25,False,True,False,False,8:49,-4.25,False,1.0,False
WELL,SubSector_R12,5,True,True,91.3,232.76,230.39,-1.02,False,True,False,True,8:49,-2.1,False,1.0,False
SR,SubSector_R12,5,True,True,91.4,79.76,78.5,-1.58,False,True,False,False,8:47,-4.1,False,1.0,False
NVR,SubSector_R12,5,True,True,88.8,6188.95,6338.92,2.42,True,True,False,True,9:21,0.93,False,1.0,False
CCI,SubSector_R12,5,True,True,86.0,73.22,72.37,-1.16,False,True,False,False,8:36,-3.2,False,1.0,False
HSBC,Combined_R22,5,True,True,93.1,103.21,101.59,-1.57,False,True,False,True,7:30,-2.0,False,1.0,False
C,SubSector_R12,5,True,True,86.8,135.05,132.47,-1.91,False,False,False,True,5:07,-1.68,False,1.0,False
DRI,SubSector_R12,5,True,True,86.9,211.31,213.54,1.06,False,True,True,True,8:49,-1.29,False,2.0,True
JPM,SubSector_R12+Combined_R22,5,True,True,93.2,352.04,340.0,-3.42,False,True,False,False,8:49,-4.14,False,2.0,False
WT,Combined_R22,5,True,False,73.8,23.72,23.73,0.04,True,True,True,True,8:49,1.05,True,2.0,True
GLNG,SubSector_R12,5,True,True,88.9,51.36,50.42,-1.83,False,True,False,True,8:01,-2.68,False,2.0,False
SPGI,SubSector_R12,5,True,True,85.3,404.47,402.44,-0.5,False,True,True,False,7:00,-5.46,False,2.0,True
EPD,SubSector_R12,5,True,True,94.8,38.47,38.01,-1.2,True,True,False,True,6:58,-1.69,False,2.0,False
KMI,SubSector_R12,5,True,True,90.1,31.72,31.27,-1.42,False,False,False,True,10:30,-1.05,False,3.0,False
AEM,SubSector_R12,5,True,False,74.9,197.48,203.55,3.07,True,True,False,True,8:49,0.86,False,3.0,True
AMAL,Combined_R22,5,True,True,90.6,48.02,47.29,-1.52,False,True,False,True,8:49,-2.42,False,3.0,True
AMG,SubSector_R12,5,True,True,84.3,364.66,360.28,-1.2,False,True,False,True,9:44,-0.19,False,3.0,False
AMZN,AI_R13+SubSector_R12+Combined_R22,5,True,True,84.5,258.45,254.98,-1.34,False,True,False,True,8:49,-1.33,False,3.0,True
APO,SubSector_R12,5,True,True,83.2,127.91,124.15,-2.94,False,True,False,False,8:49,-6.8,False,3.0,False
BEN,SubSector_R12,5,True,True,89.7,33.64,33.13,-1.52,False,True,False,True,8:49,-2.11,False,3.0,True
CDE,SubSector_R12,5,True,False,60.9,19.52,20.49,4.97,True,True,False,True,8:49,1.11,False,3.0,True
EMR,SubSector_R12,5,True,True,87.5,151.72,154.19,1.63,False,True,False,True,9:22,0.01,False,3.0,False
FCX,SubSector_R12+Combined_R22,5,True,False,73.9,72.16,74.35,3.03,True,True,False,True,8:49,1.6,False,3.0,True
KKR,SubSector_R12+Combined_R22,5,True,True,80.7,100.83,98.44,-2.37,False,True,False,False,8:49,-8.56,False,3.0,True
LNG,SubSector_R12,5,False,True,85.0,274.98,272.96,-0.73,True,True,False,True,8:49,-1.9,False,3.0,True
MSFT,AI_R13+SubSector_R12+Combined_R22,5,True,True,85.9,501.61,498.0,-0.72,False,True,False,True,8:49,0.45,False,3.0,True
NDAQ,SubSector_R12,5,True,True,88.8,94.69,94.5,-0.2,False,True,False,True,8:49,-0.88,False,3.0,True
PLD,SubSector_R12,5,True,True,93.1,135.82,135.88,0.04,False,True,False,True,9:36,-1.79,False,3.0,False
PRU,SubSector_R12,5,True,True,91.8,118.53,117.66,-0.73,False,True,False,True,8:49,-2.22,False,3.0,False
GAP,Combined_R22,5,True,False,74.7,21.25,21.46,0.99,True,True,False,True,8:28,0.17,False,3.0,True
GWW,Combined_R22,5,True,True,91.7,1277.79,1268.62,-0.72,False,True,False,True,8:20,-2.06,False,3.0,True
ORCL,AI_R13+Combined_R22,5,True,False,66.2,148.56,149.2,0.43,False,True,False,True,7:56,-0.65,False,3.0,True
DAN,10MA_R20_跌出,5,True,True,79.4,29.99,30.21,0.73,True,True,True,True,7:41,-0.94,True,0.0,True
NVDA,AI_R13+SubSector_R12+Combined_R22,5,True,True,82.2,227.38,228.87,0.66,True,True,False,False,9:32,3.57,False,3.0,False
NTLA,SubSector_R12,5,True,False,61.4,12.22,12.69,3.85,True,True,False,True,9:22,2.31,False,3.0,False
WMB,SubSector_R12,5,True,True,87.0,71.65,70.98,-0.94,False,True,False,False,6:21,-3.15,False,3.0,False
CHEF,SubSector_R12,5,True,True,79.7,110.7,108.36,-2.11,False,True,False,True,8:49,-2.69,False,4.0,False
DIS,SubSector_R12,5,True,True,89.3,104.23,103.82,-0.39,True,True,False,True,8:49,-2.4,False,4.0,False
MRK,SubSector_R12+Combined_R22,5,True,True,86.5,149.5,150.91,0.94,True,True,False,True,8:49,2.75,False,4.0,True
NSIT,10MA_R20,5,True,True,76.0,156.7,156.25,-0.29,True,True,False,True,8:49,0.6,False,4.0,False
