ticker,lists,score,c2,c3,volidx,close_0921,close_0923,chg_0921_0923_pct,c1_0923,c4_0923,c5_0923,c6_0923,clock_0923,dist_grav_pct,four_0923,c5_days_0923,still_light_0923
HTO,SubSector_R12+Combined_R22,6,True,True,92.5,62.61,62.2,-0.65,False,True,False,True,8:49,-1.64,False,2.0,False
MCK,SubSector_R12,6,True,True,86.5,886.47,880.5,-0.67,False,True,False,True,8:49,-0.41,False,2.0,False
ROKU,SubSector_R12,6,True,True,95.8,154.33,153.49,-0.54,True,True,True,True,8:49,-1.58,True,2.0,True
V,SubSector_R12+Combined_R22,6,True,True,94.0,369.95,361.52,-2.28,False,True,False,True,8:49,-2.47,False,2.0,False
EL,SubSector_R12,6,True,True,78.8,96.34,98.83,2.58,True,True,True,True,8:49,1.0,True,2.0,True
NE,SubSector_R12,6,True,True,77.0,44.2,44.62,0.95,True,True,True,True,8:49,-1.96,True,2.0,True
DFIN,10MA_R20,6,True,True,79.8,48.41,48.61,0.41,True,True,True,True,7:22,0.39,True,2.0,True
CLDT,Combined_R22,6,True,True,87.9,13.14,13.08,-0.46,True,False,False,True,10:09,-0.1,False,3.0,False
CME,SubSector_R12+Combined_R22,6,True,True,90.8,275.53,270.8,-1.72,True,True,True,True,8:49,-1.75,True,0.0,True
ICE,SubSector_R12+Combined_R22,6,True,True,90.5,155.37,156.35,0.63,True,True,True,True,8:49,-1.02,True,0.0,True
TRGP,Combined_R22,6,True,True,86.1,289.36,283.01,-2.19,True,True,False,True,8:49,-2.71,False,3.0,False
IBKR,Combined_R22,6,True,True,79.0,93.21,91.56,-1.77,True,False,False,True,10:05,-0.47,False,4.0,False
NEM,SubSector_R12+Combined_R22,6,True,True,78.0,123.05,123.55,0.41,True,True,False,True,8:49,-1.66,False,4.0,True
PK,Combined_R22,6,True,True,87.5,15.15,15.07,-0.53,True,True,False,True,8:49,-1.86,False,4.0,True
REGN,SubSector_R12+Combined_R22,6,True,True,87.3,798.17,801.82,0.46,True,True,False,True,8:49,-0.68,False,4.0,True
RGLD,SubSector_R12,6,True,True,82.3,250.11,252.78,1.07,True,True,False,True,8:49,0.23,False,4.0,True
RPRX,Combined_R22,6,True,True,88.4,58.44,57.65,-1.35,False,True,False,False,8:49,-4.24,False,4.0,False
TECK,SubSector_R12,6,True,True,77.3,66.76,66.8,0.06,False,True,False,True,8:49,-1.29,False,4.0,True
TGT,Combined_R22,6,True,True,86.3,157.71,156.26,-0.92,True,True,False,True,8:49,-1.97,False,4.0,False
PFE,SubSector_R12,6,True,True,92.8,27.74,28.18,1.59,True,True,False,True,8:49,1.24,False,4.0,True
BIIB,SubSector_R12,5,False,True,83.4,219.07,227.53,3.86,True,False,False,False,10:30,4.42,False,2.0,False
CCBG,Combined_R22,5,True,True,92.0,50.19,48.75,-2.87,False,True,False,False,8:49,-4.25,False,2.0,False
COR,SubSector_R12,5,True,True,88.2,316.49,312.28,-1.33,False,True,True,True,8:49,-2.46,False,2.0,True
DUOL,AI_R13+Combined_R22,5,True,False,62.7,149.42,145.98,-2.3,True,True,False,True,8:49,-0.22,False,2.0,False
GBTG,10MA_R20_跌出,5,False,True,99.8,9.46,9.46,0.0,True,True,True,True,8:49,-0.08,True,2.0,True
GPN,SubSector_R12,5,True,True,80.8,85.29,84.0,-1.51,False,True,True,False,8:49,-7.25,False,2.0,True
JAZZ,Combined_R22,5,True,True,86.9,241.46,234.88,-2.73,False,True,False,False,8:49,-5.35,False,2.0,False
KHC,SubSector_R12,5,True,True,85.2,24.37,23.79,-2.38,False,True,False,False,8:49,-4.57,False,2.0,False
