ticker,date,close,atr,c1,grav,grav_slope,grav_shift5atr,c2,volidx,volidx_slope,volidx_prev,c3,atr_pct,sd60_pct,vcp,vcp_slope,vcp_grade,c4,clock,theta,cycle,cyc_prog,cyc_days,c5,c5_days,hist,hist_prev,hist_trough,still_light,c6,dist_grav_pct,dist_grav_atr,lr_line,dist_lr_pct,dist_lr_atr,turnover20_m,data_warn,bar_src,lr_dir,struct,mk,inBox,bars,score,symbol_used,lists
DIS,2026-09-24,105.56,2.27,True,106.35,0.052,-0.01,True,89.6,0.26,89.3,True,2.15,1.68,41.2,3.0,C 基底修復,True,8:49,264.6,跌,128.0,17,True,0.0,-0.4498,-0.6097,-0.7072,True,True,-0.75,-0.35,109.2,-3.45,-1.6,860.1,,OHLC,↓,LH/LL,自然反彈,False,268,6,DIS,SubSector_R12
TGT,2026-09-24,156.15,4.01,True,159.56,0.183,0.27,True,86.9,0.31,86.6,True,2.57,1.82,75.4,3.3,A 待突破,True,8:49,264.6,跌,218.0,18,True,0.0,-0.8962,-0.9082,-1.7752,True,True,-2.18,-0.85,159.83,-2.36,-0.92,536.5,,OHLC,—,LH/LL,DT,True,268,6,TGT,Combined_R22
TRGP,2026-09-24,283.15,7.26,True,291.05,0.296,0.51,True,86.0,0.43,85.6,True,2.57,2.01,64.6,2.1,A 待突破,True,8:49,264.6,跌,104.0,14,True,0.0,-1.5061,-1.5097,-2.2924,True,True,-2.79,-1.09,296.06,-4.56,-1.78,330.4,,OHLC,—,LH/LL,自然回檔,True,268,6,TRGP,Combined_R22
CVX,2026-09-24,205.65,4.51,True,207.53,0.257,0.59,True,90.1,0.32,89.8,True,2.19,1.53,56.9,-1.7,A 待突破,True,7:32,226.2,跌,76.0,7,True,0.0,-1.5815,-1.6293,-1.6293,True,True,-0.92,-0.42,202.41,1.58,0.72,2124.4,,OHLC,↑,HH/HL,自然回檔,False,268,6,CVX,SubSector_R12+Combined_R22+RateHike_R2_迴避
EQNR,2026-09-24,43.17,1.17,True,43.1,0.065,0.39,True,82.6,0.06,82.6,True,2.71,2.53,60.5,-3.6,A 待突破,True,6:57,208.4,跌,66.0,6,True,0.0,-0.3519,-0.3771,-0.3771,True,True,0.17,0.06,41.98,2.76,1.02,142.7,,OHLC,↑,HH/HL,UT,False,268,6,EQNR,Combined_R22
CLH,2026-09-24,316.07,6.52,True,317.61,0.043,0.03,True,91.1,0.17,90.9,True,2.06,1.43,76.0,8.4,A 待突破,True,6:16,188.2,跌,55.0,6,True,0.0,-0.7833,-0.998,-1.5098,True,True,-0.49,-0.24,309.81,1.98,0.96,124.2,,OHLC,—,HH/HL,自然回檔,True,268,6,CLH,SubSector_R12
APA,2026-09-24,43.68,1.55,True,43.67,0.152,0.67,True,77.2,0.39,76.8,True,3.54,2.72,59.0,-4.5,B 上升結構,True,6:11,185.7,跌,53.0,7,True,0.0,-0.416,-0.4173,-0.4173,True,True,0.02,0.0,42.77,2.08,0.59,249.7,,OHLC,—,HH/HL,自然反彈,False,268,6,APA,MP_R21
ICE,2026-09-24,156.93,3.46,True,158.01,0.107,0.26,True,90.1,0.29,89.8,True,2.21,1.51,50.8,1.2,C 基底修復,True,8:49,264.6,跌,162.0,17,True,1.0,-0.5999,-0.8221,-1.2654,True,True,-0.69,-0.31,160.53,-2.29,-1.04,511.1,,OHLC,—,LH/LL,UT,False,268,6,ICE,SubSector_R12+Combined_R22
MA,2026-09-24,566.08,8.93,True,575.84,0.31,-0.11,True,93.6,0.08,93.5,True,1.58,1.31,38.6,1.8,C 基底修復,True,8:49,264.6,跌,243.0,17,True,1.0,-2.337,-2.9803,-4.315,True,True,-1.72,-1.09,578.9,-2.26,-1.44,1498.4,,OHLC,—,LH/LL,自然回檔,False,268,6,MA,SubSector_R12+Combined_R22
SPOT,2026-09-24,511.38,19.43,True,530.47,0.737,0.15,True,77.2,0.86,76.4,True,3.8,2.46,34.2,-1.8,C 基底修復,True,8:49,264.6,跌,179.0,13,True,1.0,-5.4119,-5.7741,-5.8401,True,True,-3.73,-0.98,564.89,-10.46,-2.75,799.5,,OHLC,↓,LH/LL,自然反彈,False,268,6,SPOT,Combined_R22
T,2026-09-24,25.45,0.6,True,25.57,0.039,0.45,True,89.2,0.94,88.3,True,2.36,1.55,51.2,0.6,C 基底修復,True,8:49,264.6,跌,118.0,14,True,1.0,-0.1584,-0.174,-0.1743,True,True,-0.47,-0.2,25.52,-0.28,-0.12,982.3,,OHLC,—,HH/HL,DT,False,268,6,T,SubSector_R12+RateHike_R2_迴避
COP,2026-09-24,129.34,3.53,True,132.36,0.102,0.4,True,85.3,0.33,85.0,True,2.73,1.98,57.0,2.6,B 上升結構,True,8:36,258.0,跌,93.0,7,True,1.0,-1.5336,-1.6939,-1.714,True,True,-2.34,-0.86,125.27,3.15,1.15,922.2,,OHLC,↑,HH/HL,UT,False,268,6,COP,SubSector_R12
RNR,2026-09-24,330.42,6.41,True,326.96,0.461,0.17,True,91.5,0.29,91.2,True,1.94,1.45,69.3,0.2,A 待突破,True,8:26,252.8,跌,90.0,13,True,1.0,-0.2223,-0.4352,-1.5356,True,True,1.05,0.54,324.33,1.84,0.95,96.6,,OHLC,—,HH/HL,自然反彈,True,268,6,RNR,SubSector_R12+RateHike_R2_受惠
EOG,2026-09-24,142.86,3.74,True,146.23,0.002,0.15,True,85.0,0.44,84.5,True,2.62,2.16,45.4,3.3,C 基底修復,True,6:43,201.6,跌,62.0,7,True,1.0,-0.8647,-0.9941,-1.1968,True,True,-2.36,-0.9,139.52,2.34,0.89,496.6,,OHLC,—,HH/HL,自然反彈,False,268,6,EOG,SubSector_R12+Combined_R22
