ticker,name,n_hit,hits,detail,avoid,comb_grade,comb_up,comb_sure,ss_rank,ss_score,ss_name,ai_group,ai_rank,ai_tf5,mp_rank,mp_win,mp_score,mp_flag,rh,catalyst,score,miss,close,volidx,volidx_slope,grav_slope,clock,c5_cat,dist_grav_pct,turnover20_m,bars,hist_ok,vcp,vcp_grade,struct,lists
JNJ,Johnson & Johnson,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A、Weinstein 2A、Pre-breakout A（線上 3/3） ｜ #18 大型藥廠（5 日分 85，斜率 +0.31）,,A/2A/A,90.9,22.6,18.0,84.5,大型藥廠,,,,,,,,,,5,⑤,270.68,91.7,0.02,0.326,8:49,第 8 根,0.52,1752.1,268,True,80.3,A 待突破,LH/LL,SubSector_R12+Combined_R22
REGN,Regeneron,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A（線上 2/3） ｜ #19 大型生物科技（5 日分 84，斜率 +0.44）,,A/1→2/—,73.8,56.3,19.0,83.6,大型生物科技,,,,,,,,,,5,⑤,796.02,87.3,0.02,0.068,8:49,第 6 根,-1.42,565.3,268,True,56.8,A 待突破,HH/HL,SubSector_R12+Combined_R22+MP_R21_差一項
MRK,Merck,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP B、Weinstein 2A（線上 2/3） ｜ #18 大型藥廠（5 日分 85，斜率 +0.31）,,B/2A/—,73.3,27.7,18.0,84.5,大型藥廠,,,,,,,,,,5,⑤,147.98,86.0,0.0,0.534,8:49,已中斷,0.22,1461.3,268,True,64.6,A 待突破,LH/LL,SubSector_R12+Combined_R22
V,Visa,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/—,76.4,21.1,,,,,,,,,,,,,5,②,367.98,93.8,-0.03,0.094,8:49,第 1 根,-0.7,2281.7,268,True,58.3,C 基底修復,LH/LL,SubSector_R12+Combined_R22
TRST,TrustCo Bank Corp NY Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,79.2,22.1,,,,,,,,,,,,,5,①,56.3,91.4,0.35,-0.007,6:44,第 1 根,-1.49,9.0,268,True,61.7,C 基底修復,LH/LL,Combined_R22
XOM,ExxonMobil,1,chat2 Combined R22,VCP A（線上 2/3）,⚠ 加息清單「迴避」,A/1→2/—,77.0,29.8,,,,,,,,,,,,⚠ 9/16 -3.5%，綜合油企同步下挫,5,④,162.14,88.9,0.08,0.109,5:49,第 2 根,-0.22,2382.5,268,True,60.0,A 待突破,HH/HL,SubSector_R12+Combined_R22+RateHike_R2_迴避
RPRX,Royalty Pharma,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/C,80.0,19.9,,,,,,,,,,,,,5,⑥,58.29,88.8,0.3,0.019,8:49,第 1 根,-3.16,199.3,268,True,49.5,C 基底修復,LH/LL,Combined_R22
SU,Suncor Energy  Inc. Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,81.8,23.8,,,,,,,,,,,,⚠ 9/16 -4.1%,5,④,68.65,85.9,0.08,0.247,5:56,第 1 根,1.22,330.9,268,True,74.7,A 待突破,HH/HL,Combined_R22
MSFT,Microsoft Corporation,1,chat2 Combined R22,VCP A、Weinstein 2A（線上 2/3）,,A/2A/—,90.2,34.6,,,,,,,,,,,,,5,⑤,497.93,85.9,0.06,0.034,8:49,第 6 根,0.43,10676.2,268,True,70.7,A 待突破,LH/LL,AI_R13+SubSector_R12+Combined_R22
CNQ,Canadian Natural Resources Limited Commo,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,79.2,25.7,,,,,,,,,,,,,5,⑥,47.93,85.8,0.32,0.02,8:49,第 1 根,-4.36,357.7,268,True,47.1,C 基底修復,LH/LL,Combined_R22
NHC,National HealthCare Corporation Common S,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,83.5,59.7,,,,,,,,,,,,,5,⑤,221.6,84.4,0.02,0.107,7:42,已中斷,-1.31,24.0,268,True,60.3,C 基底修復,HH/HL,Combined_R22
OXY,Occidental,1,chat2 Combined R22,VCP B（線上 2/3）,,B/1→2/—,71.2,27.5,,,,,,,,,,,,⚠ 9/16 -6.5%，原油急挫拖累 E&P，−6.5%,5,①,58.05,84.4,0.32,-0.03,7:18,第 2 根,-2.94,503.1,268,True,44.5,C 基底修復,HH/HL,SubSector_R12+Combined_R22
RGLD,,1,chat3 SubSector R12,#28 黃金與貴金屬礦（5 日分 75，斜率 +0.24）,,,,,28.0,75.5,黃金與貴金屬礦,,,,,,,,,,5,⑤,252.49,82.9,0.39,0.65,8:49,第 6 根,-0.14,173.9,268,True,43.9,C 基底修復,LH/LL,SubSector_R12
CVE,Cenovus Energy Inc Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,80.0,66.3,,,,,,,,,,,,⚠ 9/16 -4.1%，油砂股隨油價回落，−4.1%,5,⑤,31.28,81.7,0.3,0.057,7:42,已中斷,-3.13,210.8,268,True,65.8,A 待突破,HH/HL,Combined_R22
GNK,Genco Shipping & Trading Limited Ordinar,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,75.9,24.5,,,,,,,,,,,,,5,⑤,26.44,81.1,0.35,0.016,6:26,—,-1.56,18.4,268,True,60.2,A 待突破,HH/HL,Combined_R22
REPX,Riley Exploration Permian Inc.,1,chat1 動能回調 R21,總表 #26（動能 1月，爆發潛力 56.7）,,,,,,,,,,,26.0,1月,56.7,,,,5,④,41.69,79.7,0.75,0.101,4:50,第 1 根,0.82,17.4,268,True,52.1,B 上升結構,HH/HL,MP_R21
CHRD,Chord Energy Corporation Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,75.5,70.1,,,,,,,,,,,,⚠ 9/16 -6.3%，頁岩 E&P 隨油價回吐 9/15 升幅，−6.4%,5,⑥,140.02,78.5,0.54,0.081,7:03,第 1 根,-3.9,104.3,268,True,47.0,C 基底修復,HH/HL,Combined_R22
CBLL,CeriBell Inc.,1,chat1 動能回調 R21,總表 #28（動能 2月，爆發潛力 49.8）,,,,,,,,,,,28.0,2月,49.8,,,,5,⑤,23.82,75.9,0.63,0.072,8:49,已中斷,-1.77,8.6,268,True,76.6,A 待突破,HH/HL,MP_R21
CORT,Corcept Therapeutics Incorporated Common,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,75.3,17.7,,,,,,,,,,,,,5,③,118.51,65.1,0.24,0.084,8:49,第 1 根,3.73,193.1,268,True,72.7,A 待突破,HH/HL,Combined_R22+MP_R21_差一項
PBF,PBF Energy,1,chat2 Combined R22,VCP B（線上 2/3）,,B/2B/—,66.6,82.2,,,,,,,,,,,,🔥 煉油毛利擴張，9/15 +6.1%（9/16 隨油價回吐）,5,③,71.9,55.4,0.58,0.027,8:49,第 1 根,-2.58,293.1,268,True,66.1,B 上升結構,HH/HL,Combined_R22+MP_R21_差一項
PSX,Phillips 66,3,chat1 動能回調 R21 ｜ chat3 SubSector R12 ｜ chat3 加息 R2,總表 #24（動能 3月，爆發潛力 60.4） ｜ #2 煉油與成品油（5 日分 99，斜率 +0.62） ｜ 加息／地緣政治 3 日清單：受惠,,,,,2.0,99.1,煉油與成品油,,,,24.0,3月,60.4,,受惠,,4,④⑤,255.87,82.3,0.35,0.93,5:45,已中斷,0.85,872.7,268,True,65.6,B 上升結構,HH/HL,SubSector_R12+RateHike_R2_受惠+MP_R21
MPC,Marathon Petroleum Corporation,3,chat1 動能回調 R21 ｜ chat3 SubSector R12 ｜ chat3 加息 R2,總表 #20（動能 2月/3月，爆發潛力 65.5） ｜ #2 煉油與成品油（5 日分 99，斜率 +0.62） ｜ 加息／地緣政治 3 日清單：受惠,,,,,2.0,99.1,煉油與成品油,,,,20.0,2月/3月,65.5,今日放量（1.6× 50日均量）收喺 20MA 下面,受惠,,4,④⑤,390.95,79.0,0.34,1.649,5:09,—,0.94,1259.5,268,True,65.0,B 上升結構,HH/HL,SubSector_R12+RateHike_R2_受惠+MP_R21
ABBV,AbbVie,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A、Weinstein 2A、Pre-breakout A（線上 3/3） ｜ #18 大型藥廠（5 日分 85，斜率 +0.31）,,A/2A/A,94.1,34.4,18.0,84.5,大型藥廠,,,,,,,,,,4,④⑤,265.12,91.1,0.17,0.486,12:30,已中斷,2.16,1086.2,268,True,82.1,A 待突破,HH/HL,SubSector_R12+Combined_R22
GILD,Gilead,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A（線上 2/3） ｜ #19 大型生物科技（5 日分 84，斜率 +0.44）,,A/1→2/—,74.5,31.7,19.0,83.6,大型生物科技,,,,,,,,,,4,②⑤,149.69,88.1,-0.13,0.495,8:49,已中斷,1.65,875.4,268,True,66.8,A 待突破,HH/HL,SubSector_R12+Combined_R22
VRTX,Vertex Pharma,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A（線上 2/3） ｜ #19 大型生物科技（5 日分 84，斜率 +0.44）,,A/1→2/—,78.2,28.3,19.0,83.6,大型生物科技,,,,,,,,,,4,①⑤,522.38,87.8,0.03,-0.09,8:49,第 7 根,-1.38,549.7,268,True,67.4,A 待突破,HH/HL,SubSector_R12+Combined_R22
RS,,2,chat3 SubSector R12 ｜ chat3 加息 R2,#6 鋼鐵（5 日分 95，斜率 +0.23） ｜ 加息／地緣政治 3 日清單：受惠,,,,,6.0,95.5,鋼鐵,,,,,,,,受惠,,4,①④,385.77,86.6,0.63,-0.898,5:09,第 1 根,-2.37,120.4,268,True,62.9,C 基底修復,HH/HL,SubSector_R12+RateHike_R2_受惠
NUE,,2,chat3 SubSector R12 ｜ chat3 加息 R2,#6 鋼鐵（5 日分 95，斜率 +0.23） ｜ 加息／地緣政治 3 日清單：受惠,,,,,6.0,95.5,鋼鐵,,,,,,,,受惠,,4,①④,247.96,81.2,0.83,-0.479,5:28,第 1 根,-2.34,308.3,268,True,62.3,C 基底修復,LH/LL,SubSector_R12+RateHike_R2_受惠
STLD,,2,chat3 SubSector R12 ｜ chat3 加息 R2,#6 鋼鐵（5 日分 95，斜率 +0.23） ｜ 加息／地緣政治 3 日清單：受惠,,,,,6.0,95.5,鋼鐵,,,,,,,,受惠,,4,①④,235.2,79.6,0.8,-0.552,5:05,第 2 根,-0.99,235.0,268,True,62.4,C 基底修復,LH/LL,SubSector_R12+RateHike_R2_受惠
FCX,Freeport-McMoRan,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP B（線上 2/3） ｜ #25 銅與基本金屬（5 日分 78，斜率 +0.44）,,B/2B/—,71.1,22.2,25.0,78.2,銅與基本金屬,,,,,,,,,,4,③⑤,72.08,74.2,0.5,0.05,8:49,第 6 根,-1.7,888.9,268,True,65.5,B 上升結構,LH/LL,SubSector_R12+Combined_R22
UBSI,United Bankshares,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/—,75.7,16.3,,,,,,,,,,,,,4,①④,46.53,94.6,0.11,-0.065,5:43,第 1 根,-1.9,49.8,268,True,50.0,C 基底修復,LH/LL,Combined_R22
EGP,,1,chat3 SubSector R12,#11 工業與物流REIT（5 日分 91，斜率 +0.10）,,,,,11.0,90.9,工業與物流REIT,,,,,,,,,,4,④⑤,202.5,94.3,0.18,0.134,2:43,已中斷,0.76,101.2,268,True,43.4,C 基底修復,HH/HL,SubSector_R12
STAG,,1,chat3 SubSector R12,#11 工業與物流REIT（5 日分 91，斜率 +0.10）,,,,,11.0,90.9,工業與物流REIT,,,,,,,,,,4,④⑤,37.29,94.0,0.17,0.009,2:49,—,0.33,57.7,268,True,24.0,D 趨勢弱,LH/LL,SubSector_R12
