排名,代號,分數,時鐘,周期,已走日,預期日,進度%,預估轉正日,MACD_Hist,連升根數,A相位,B收斂,C轉向,D確認,收盤,21日%,距高%,RS21,量比
1,NHC,98.6,8:49,跌,12,7.4,163.0,0.9,-0.3411,5,44.8,25.0,13.9,15,224.92,3.8,-5.0,4.7,0.92
2,XOM,94.8,8:49,跌,12,11.4,105.0,1.3,-0.1712,2,45,23.8,11.1,15,165.23,3.4,-3.6,4.3,0.98
3,AEHR,93.5,8:49,跌,14,10.6,132.0,0.5,-0.4539,6,45,25.0,14.5,9,93.81,-19.9,-35.6,-19.1,1.1
4,AXTI,92.7,8:49,跌,13,11.8,111.0,0.2,-0.1288,6,45,25.0,14.7,8,64.7,-12.3,-54.1,-11.4,0.81
5,MSGS,89.9,8:49,跌,15,10.6,141.0,1.5,-0.6512,6,45,23.3,13.7,8,392.11,-0.3,-5.3,0.5,1.19
6,OXY,89.7,8:49,跌,11,8.2,133.0,2.7,-0.0342,2,45,19.1,10.6,15,61.16,3.6,-7.7,4.4,0.83
7,EQNR,89.0,9:49,升,2,14.5,14.0,,0.1178,3,34,25,15.0,15,45.11,10.2,-0.3,11.1,0.84
8,FMAO,89.0,9:24,升,1,14.5,7.0,,0.0051,11,34,25,15.0,15,35.41,1.0,0.0,1.9,0.58
9,NET,89.0,9:30,升,1,11.6,9.0,,0.5876,3,34,25,15.0,15,311.17,1.4,-5.9,2.2,0.92
10,PBF,89.0,9:55,升,2,13,15.0,,0.0438,3,34,25,15.0,15,77.08,11.1,0.0,12.0,0.92
11,OUST,87.8,8:49,跌,15,11.8,128.0,0.3,-0.0337,8,45,25.0,14.8,3,35.23,-21.9,-43.7,-21.1,0.56
12,FN,87.5,8:49,跌,16,10.5,152.0,0.6,-0.9296,8,45,25.0,14.5,3,403.95,-23.2,-45.9,-22.3,0.92
13,LWLG,87.2,8:49,跌,15,14,107.0,0.8,-0.0174,5,45,25.0,14.2,3,5.16,-31.7,-71.7,-30.9,0.82
14,FANG,87.0,8:49,跌,11,10.5,105.0,2.4,-0.3412,2,45,20.0,10.0,12,205.39,1.8,-3.9,2.7,1.07
15,ETN,86.8,8:49,跌,16,9.4,171.0,0.3,-0.3078,5,44.1,25.0,14.7,3,409.15,-10.9,-11.0,-10.0,0.86
16,RDW,86.7,8:06,跌,13,15.3,85.0,2.2,-0.0957,5,45,20.8,12.9,8,10.87,-19.5,-58.0,-18.7,0.71
17,DDOG,86.1,8:49,跌,25,13.5,185.0,1.2,-0.7061,2,43.0,24.3,10.8,8,221.72,-10.2,-23.1,-9.3,0.91
18,CHRD,86.0,9:23,升,1,15.6,6.0,,0.0125,2,34,25,12.0,15,151.82,9.0,0.0,9.9,0.87
19,FORM,86.0,10:00,升,2,12,17.0,,0.7143,5,34,25,15.0,12,112.12,-7.4,-29.9,-6.5,0.84
20,INSP,86.0,9:22,升,1,15.9,6.0,,0.2188,2,34,25,12.0,15,68.12,15.2,-52.7,16.1,0.77
21,MATX,86.0,9:27,升,1,13.1,8.0,,0.1338,2,34,25,12.0,15,227.99,11.5,0.0,12.4,0.86
22,MRVL,86.0,9:25,升,1,14.4,7.0,,0.0266,4,34,25,15.0,12,226.96,6.9,-28.3,7.8,1.02
23,ONTO,86.0,8:49,跌,13,13.1,99.0,1.2,-1.3903,4,45,24.4,13.7,3,268.92,-15.9,-28.9,-15.0,0.77
24,TER,86.0,10:01,升,2,11.6,17.0,,0.9274,6,34,25,15.0,12,370.19,-2.5,-23.5,-1.6,0.7
25,WSFS,86.0,9:24,升,1,15,7.0,,0.0386,6,34,25,15.0,12,79.94,-1.4,-2.9,-0.6,0.84
26,CMI,84.9,8:49,跌,17,14.4,118.0,0.1,-0.0849,6,45,25.0,14.9,0,550.03,-13.1,-24.4,-12.2,1.17
27,AVGO,84.8,8:49,跌,18,11.1,162.0,0.2,-0.0989,4,44.9,25.0,14.9,0,360.83,-13.3,-25.1,-12.4,1.32
28,HUBB,83.5,8:49,跌,17,9.9,172.0,1.7,-0.7514,6,44.0,22.4,14.1,3,452.41,-12.9,-18.9,-12.1,0.88
29,RBCAA,83.0,9:50,升,2,14.1,14.0,,0.099,14,34,25,15.0,9,97.24,-1.8,-3.4,-1.0,1.06
30,RRBI,83.0,9:26,升,1,13.5,7.0,,0.0036,1,34,25,9.0,15,103.17,0.8,-0.3,1.6,0.79
31,SU,83.0,10:03,升,2,11.4,18.0,,0.0379,2,34,25,12.0,12,68.93,8.9,-1.1,9.8,1.27
32,LQDA,82.3,8:49,跌,22,9.5,232.0,0.0,-0.0052,13,39.3,25.0,15.0,3,67.85,-22.9,-25.5,-22.1,0.73
33,AAOI,82.2,8:49,跌,13,9.1,142.0,2.1,-0.8892,6,45,21.2,13.0,3,103.29,-23.1,-53.7,-22.2,0.62
34,AGM,82.2,8:49,跌,19,10.6,179.0,4.5,-0.4203,10,43.5,12.5,14.2,12,224.6,-4.3,-7.1,-3.4,0.85
35,VIAV,82.0,10:13,升,2,9.8,21.0,,0.1805,4,34,25,15.0,8,37.4,-2.6,-32.4,-1.7,0.86
36,CORT,80.3,8:21,跌,11,12.3,89.0,5.4,-1.2208,3,45,9.1,11.2,15,114.92,2.7,-7.0,3.6,0.73
37,CVE,80.0,9:53,升,2,13.4,15.0,,0.0006,0,34,25,6.0,15,33.34,11.7,-0.4,12.6,0.75
38,HST,80.0,9:30,升,1,11.8,9.0,,0.0063,6,34,25,15.0,6,22.14,-0.7,-13.3,0.2,0.76
39,NWBI,80.0,9:33,升,1,10.6,9.0,,0.0033,1,34,25,9.0,12,15.49,-0.9,-3.2,-0.0,0.94
40,TRST,80.0,9:38,升,1,9.4,11.0,,0.0509,1,34,25,9.0,12,58.42,4.3,0.0,5.2,1.13
41,ET,78.1,5:45,跌,5,10.9,46.0,1.6,-0.0033,2,29.8,22.7,10.6,15,21.73,4.6,0.0,5.5,0.8
42,JBL,77.7,8:49,跌,15,8.8,171.0,0.6,-0.272,0,44.1,25.0,5.6,3,302.8,-15.1,-21.5,-14.2,0.89
43,AMAT,77.0,9:55,升,2,12.9,16.0,,0.6092,5,34,25,15.0,3,454.01,-13.6,-37.2,-12.7,0.76
44,FEIM,77.0,9:26,升,1,13.4,7.0,,0.0398,11,34,25,15.0,3,62.06,-18.2,-22.3,-17.4,0.68
45,HPE,77.0,9:46,升,2,15.6,13.0,,0.0711,0,34,25,6.0,12,55.22,1.5,-7.7,2.4,1.63
46,PKE,76.7,8:49,跌,16,11.9,135.0,3.5,-0.2235,10,45,15.9,12.8,3,30.71,-18.0,-19.7,-17.2,0.92
47,BAC,76.0,8:49,跌,18,11.4,158.0,5.7,-0.0849,9,45,8.1,13.8,9,62.56,-2.2,-3.5,-1.4,1.07
48,WST,75.3,8:10,跌,11,12.8,86.0,4.6,-0.6798,1,45,12.0,6.4,12,344.25,-2.0,-5.9,-1.1,0.73
49,LILAK,74.9,8:49,跌,21,7.2,290.0,4.7,-0.0207,3,34.6,12.0,13.3,15,8.68,2.5,0.0,3.4,0.86
